Valor_X	 Valor_Funcion
0.0000	0.0000
0.3142	0.0955
0.6283	0.3455
0.9425	0.6545
1.2566	0.9045
1.5708	1.0000
1.8849	0.9045
2.1991	0.6546
2.5132	0.3456
2.8274	0.0955
3.1415	0.0000
3.4557	0.0954
3.7698	0.3454
4.0840	0.6544
4.3981	0.9044
4.7123	1.0000
5.0264	0.9046
5.3406	0.6547
5.6547	0.3457
5.9689	0.0956
6.2830	0.0000
6.5972	0.0954
6.9113	0.3453
7.2255	0.6543
7.5396	0.9044
7.8538	1.0000
8.1679	0.9047
8.4821	0.6547
8.7962	0.3457
9.1104	0.0956
9.4245	0.0000
9.7386	0.0953
10.0528	0.3452
10.3670	0.6542
10.6811	0.9043
10.9953	1.0000
11.3094	0.9047
11.6236	0.6548
11.9377	0.3458
12.2519	0.0957
12.5660	0.0000
12.8802	0.0953
13.1943	0.3451
13.5085	0.6541
13.8226	0.9043
14.1368	1.0000
14.4509	0.9048
14.7651	0.6549
15.0792	0.3459
15.3934	0.0958
15.7075	0.0000
16.0217	0.0952
16.3358	0.3450
16.6500	0.6540
16.9641	0.9042
17.2783	1.0000
17.5924	0.9048
17.9065	0.6550
18.2207	0.3460
18.5349	0.0958
18.8490	0.0000
19.1632	0.0952
19.4773	0.3449
19.7915	0.6540
20.1056	0.9042
20.4198	1.0000
20.7339	0.9049
21.0481	0.6551
21.3622	0.3461
21.6764	0.0959
21.9905	0.0000
22.3047	0.0951
22.6188	0.3449
22.9330	0.6539
23.2471	0.9041
23.5613	1.0000
23.8754	0.9049
24.1896	0.6552
24.5037	0.3462
24.8179	0.0959
25.1320	0.0000
