Valor de X	Derivada aprox
0	4
0,3142	11,9208
0,6283	1,2858
0,9425	-18,9461
1,2566	1,004
1,5708	25,4693
1,8849	0,0145
2,1991	-19,9029
2,5132	-7,7727
2,8274	11,4578
3,1415	6,9386
3,4557	10,4688
3,7698	1,2643
4,084	-18,9616
4,3981	-0,4383
4,7123	28,4078
5,0264	-1,451
5,3406	-19,924
5,6547	-7,7797
5,9689	10,0151
6,283	-0,1229
6,5972	9,0038
6,9113	1,2348
7,2255	-18,969
7,5396	-1,8675
7,8538	21,3464
8,1679	-2,9297
8,4821	-19,9532
8,7962	-7,7787
9,1104	8,5853
9,4245	2,8157
9,7386	-4,8772
10,0528	1,1972
10,367	-18,9683
10,6811	-3,2837
10,9953	24,285
11,3094	5,5786
11,6236	-19,9905
11,9377	-7,7696
12,2519	7,1687
12,566	5,7543
12,8802	6,0345
13,1943	1,1515
13,5085	-18,9595
13,8226	5,3133
14,1368	27,2236
14,4509	4,0739
14,7651	-20,0359
15,0792	-7,7525
15,3934	5,7651
15,7075	8,6929
16,0217	4,5302
16,3358	1,0977
16,65	-18,9427
16,9641	3,9233
17,2783	20,1622
17,5924	2,5561
17,9065	12,2226
18,2207	-7,7273
18,5349	4,3746
18,849	1,6316
19,1632	3,013
19,4773	1,0358
19,7915	-18,9178
20,1056	2,5464
20,4198	23,1008
20,7339	1,0252
21,0481	-20,1509
21,3622	-7,6941
21,6764	2,9971
21,9905	4,5702
22,3047	11,4826
22,6188	0,9659
22,933	-18,8849
23,2471	1,1825
23,5613	26,0395
23,8754	-0,5187
24,1896	-20,2205
24,5037	-7,6528
24,8179	11,6328
25,132	7,5089
